City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Aracoiaba,BR,81.55,overcast clouds,-4.3711,-38.8142,Bar Redondo e Pousada
3,Atuona,PF,77.94,few clouds,-9.8,-139.0333,Villa Enata
11,Ravar,IR,88.05,clear sky,31.2656,56.8055,computertik
14,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Fort Nelson,CA,76.23,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
22,Jamestown,US,78.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Tateyama,JP,76.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
25,Bud,US,75.22,light rain,39.447,-86.1758,Ted McQuinn Trust
26,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
31,Kita,ML,84.85,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
36,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
48,High Level,CA,78.3,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
51,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
55,Broome,US,88.32,scattered clouds,42.2506,-75.833,Chenango Valley State Park
57,Bengkulu,ID,75.65,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Puerto Escondido,MX,85.87,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
63,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
65,Yining,CN,76.5,overcast clouds,29.0361,114.5636,Xiushui Hotel
66,Adoni,IN,77.32,overcast clouds,15.6333,77.2833,Bheemas Regency
67,Wajir,KE,79.47,scattered clouds,1.7471,40.0573,Mahatallah Hotel
69,Steamboat Springs,US,88.34,clear sky,40.485,-106.8317,Steamboat Grand
74,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
75,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Itarema,BR,83.52,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
86,Mangan,IN,76.69,overcast clouds,27.5167,88.5333,Hotel Mout View
90,Sao Filipe,CV,75.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
91,Doka,SD,76.37,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
92,Torbay,CA,77.88,overcast clouds,47.6666,-52.7314,Gallows Cove
93,Mastic Beach,US,85.44,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
95,Sola,VU,81.05,broken clouds,-13.8833,167.55,Leumerus Bungalows
100,Denizli,TR,79.79,clear sky,37.8402,29.0698,Anemon Denizli Hotel
101,Kavaratti,IN,82.54,overcast clouds,10.5669,72.642,Green leaf
107,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
110,Tucurui,BR,89.76,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
112,Aktau,KZ,79.38,clear sky,43.65,51.2,Silk Way Hotel
115,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
116,Luis Correia,BR,87.8,broken clouds,-2.8792,-41.6669,Hotel Amarração
121,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
123,Cruz,BR,84.78,broken clouds,-2.9178,-40.1717,Hotel Villaboibom
124,Bethel,US,84.72,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
127,Marsh Harbour,BS,83.95,broken clouds,26.5412,-77.0636,Abaco Beach Resort
130,Korla,CN,76.75,clear sky,41.7597,86.1469,Gulisitan Hotel
131,Cururupu,BR,85.69,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
142,Nizwa,OM,85.05,overcast clouds,22.9333,57.5333,Orient Apartments
146,Lompoc,US,84.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
148,Port Blair,IN,81.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
150,Katsuura,JP,77.41,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
151,Padang,ID,76.91,few clouds,-0.9492,100.3543,Mercure Padang
153,Casablanca,MA,77.22,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
156,Tura,IN,75.92,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
158,Honiara,SB,76.01,few clouds,-9.4333,159.95,Heritage Park Hotel
