City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gorontalo,ID,0.5412,123.0595,74.17,96,100,2.06,light rain
1,Lebu,CL,-37.6167,-73.65,51.62,85,57,16.42,broken clouds
2,Aracoiaba,BR,-4.3711,-38.8142,81.55,69,97,4.38,overcast clouds
3,Atuona,PF,-9.8,-139.0333,77.94,77,18,21.3,few clouds
4,Ostrovnoy,RU,68.0531,39.5131,58.84,73,13,10.27,few clouds
5,Hilo,US,19.7297,-155.09,90.28,81,100,5.75,overcast clouds
6,Bluff,NZ,-46.6,168.3333,51.8,63,100,20.87,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,74.23,80,100,16.28,light rain
8,Kaitangata,NZ,-46.2817,169.8464,42.53,89,53,3.02,broken clouds
9,Busselton,AU,-33.65,115.3333,53.64,92,100,13.47,overcast clouds
10,Kruisfontein,ZA,-34.0033,24.7314,67.89,26,0,14.05,clear sky
11,Ravar,IR,31.2656,56.8055,88.05,8,0,7.49,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,82,16.93,broken clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,56,40,4.61,scattered clouds
14,Kapaa,US,22.0752,-159.319,82.38,82,100,13.8,light rain
15,Iqaluit,CA,63.7506,-68.5145,41.7,93,100,4.0,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,26.46,clear sky
17,Tuktoyaktuk,CA,69.4541,-133.0374,54.86,75,7,4.9,clear sky
18,Punta Alta,AR,-38.8759,-62.0736,56.8,41,71,19.19,light rain
19,Fernandina Beach,US,30.6697,-81.4626,92.01,73,0,11.5,clear sky
20,Talnakh,RU,69.4865,88.3972,56.26,64,100,3.18,overcast clouds
21,Fort Nelson,CA,58.8053,-122.7002,76.23,39,100,0.87,overcast clouds
22,Jamestown,US,42.097,-79.2353,78.39,76,75,12.66,broken clouds
23,Tateyama,JP,34.9833,139.8667,76.1,89,94,16.91,overcast clouds
24,Severodvinsk,RU,64.5635,39.8302,59.11,87,83,6.06,broken clouds
25,Bud,US,39.447,-86.1758,75.22,93,100,10.02,light rain
26,Vila Velha,BR,-20.3297,-40.2925,80.55,74,20,14.97,few clouds
27,Madimba,TZ,-10.4,40.3333,71.44,86,1,10.58,clear sky
28,Bosobolo,CD,4.1833,19.9,71.55,93,77,4.12,light rain
29,Hobart,AU,-42.8794,147.3294,39.06,84,75,19.57,broken clouds
30,Avarua,CK,-21.2078,-159.775,69.85,88,75,5.75,broken clouds
31,Kita,ML,13.0349,-9.4895,84.85,62,62,4.18,broken clouds
32,Aykhal,RU,66.0,111.5,48.58,96,100,4.07,overcast clouds
33,Gazanjyk,TM,39.2446,55.5154,93.7,12,0,9.24,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,70.11,36,0,9.26,clear sky
35,Castro,BR,-24.7911,-50.0119,69.04,71,100,4.81,overcast clouds
36,Butaritari,KI,3.0707,172.7902,82.02,72,96,10.33,overcast clouds
37,Tasiilaq,GL,65.6145,-37.6368,50.16,78,61,6.2,broken clouds
38,Chara,RU,56.9064,118.2631,62.01,93,100,2.91,overcast clouds
39,Vardo,NO,70.3705,31.1107,53.58,87,0,5.75,clear sky
40,Mar Del Plata,AR,-38.0023,-57.5575,59.95,39,0,21.85,clear sky
41,Itupiranga,BR,-5.1347,-49.3267,97.12,29,13,3.67,few clouds
42,New Norfolk,AU,-42.7826,147.0587,38.7,75,92,3.0,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,51.48,81,96,7.61,overcast clouds
44,Port-Cartier,CA,50.0334,-66.8654,70.75,54,98,7.2,overcast clouds
45,Leningradskiy,RU,69.3833,178.4167,32.43,91,49,25.61,light snow
