City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muramvya,BI,2022-07-17 16:33:42,-3.2682,29.6079,62.96,57,93,2.66
1,Saint-Francois,FR,2022-07-17 16:33:42,46.4154,3.9054,89.04,23,0,11.5
2,Ushuaia,AR,2022-07-17 16:33:03,-54.8,-68.3,42.46,52,40,10.36
3,Ahipara,NZ,2022-07-17 16:33:43,-35.1667,173.1667,48.13,84,91,5.28
4,Port Elizabeth,ZA,2022-07-17 16:33:43,-33.918,25.5701,77.09,36,0,2.3
5,Caceres,ES,2022-07-17 16:33:01,39.522,-6.3748,107.33,8,40,10.76
6,Luis Correia,BR,2022-07-17 16:33:44,-2.8792,-41.6669,91.4,62,40,10.36
7,Sorland,NO,2022-07-17 16:33:44,67.667,12.6934,53.46,77,80,13.78
8,Rikitea,PF,2022-07-17 16:33:44,-23.1203,-134.9692,73.96,78,100,16.46
9,East London,ZA,2022-07-17 16:33:45,-33.0153,27.9116,68.94,52,0,6.91
10,Korla,CN,2022-07-17 16:31:28,41.7597,86.1469,80.35,27,49,5.26
11,Atbasar,KZ,2022-07-17 16:33:45,51.8,68.3333,73.13,58,78,8.43
12,Ust-Kulom,RU,2022-07-17 16:33:45,61.6864,53.6902,66.65,59,83,4.16
13,Lasa,IT,2022-07-17 16:33:46,46.6166,10.7002,86.88,53,18,0.36
14,Arman,RU,2022-07-17 16:32:15,59.7,150.1667,57.02,95,14,2.91
15,Kumeny,RU,2022-07-17 16:33:46,58.1089,49.9161,64.44,82,27,3.56
16,Hobart,AU,2022-07-17 16:33:47,-42.8794,147.3294,39.06,81,75,17.27
17,Khatanga,RU,2022-07-17 16:28:54,71.9667,102.5,58.32,63,100,6.96
18,Mokhsogollokh,RU,2022-07-17 16:33:47,61.4681,128.9203,70.52,77,45,1.52
19,Cape Town,ZA,2022-07-17 16:33:47,-33.9258,18.4232,62.11,87,75,13.8
20,Alofi,NU,2022-07-17 16:33:48,-19.0595,-169.9187,73.29,83,25,8.05
21,Muli,MV,2022-07-17 16:33:48,2.9167,73.5667,80.58,82,100,11.74
22,Arkhangelskoye,RU,2022-07-17 16:33:48,55.8549,35.3287,60.98,70,63,1.23
23,Coquimbo,CL,2022-07-17 16:33:49,-29.9533,-71.3436,58.73,51,0,3.44
24,Griffith,US,2022-07-17 16:33:49,41.5284,-87.4237,78.15,82,100,3.44
25,Mataura,NZ,2022-07-17 16:33:49,-46.1927,168.8643,51.48,83,83,6.58
26,Bluff,NZ,2022-07-17 16:33:50,-46.6,168.3333,51.8,68,84,20.09
27,Karaton,ID,2022-07-17 16:33:50,-6.3424,106.1045,73.81,96,94,0.94
28,Raudeberg,NO,2022-07-17 16:33:51,61.9875,5.1352,57.96,88,79,21.77
29,Saint-Philippe,RE,2022-07-17 16:33:51,-21.3585,55.7679,69.39,78,90,16.31
30,Punta Arenas,CL,2022-07-17 16:33:51,-53.15,-70.9167,33.91,80,0,16.11
31,Impfondo,CG,2022-07-17 16:33:52,1.6381,18.0667,72.25,97,93,3.2
32,Bosaso,SO,2022-07-17 16:33:52,11.2842,49.1816,92.57,44,0,5.7
33,Egvekinot,RU,2022-07-17 16:33:52,66.3167,-179.1667,38.23,49,88,15.79
34,Victor Harbor,AU,2022-07-17 16:30:12,-35.5667,138.6167,48.0,88,76,1.01
35,Cap Malheureux,MU,2022-07-17 16:33:53,-19.9842,57.6142,68.47,75,39,5.01
36,Escada,BR,2022-07-17 16:33:53,-8.3592,-35.2236,79.54,77,55,13.02
37,Hithadhoo,MV,2022-07-17 16:33:54,-0.6,73.0833,77.5,92,100,25.66
38,Kalmunai,LK,2022-07-17 16:33:54,7.4167,81.8167,81.9,82,100,1.43
39,Vaini,TO,2022-07-17 16:33:54,-21.2,-175.2,73.56,88,40,6.91
40,Praia,CV,2022-07-17 16:33:55,14.9215,-23.5087,82.94,65,20,16.11
41,Khandbari,NP,2022-07-17 16:33:55,27.3747,87.2039,74.5,93,96,0.63
42,Kaitangata,NZ,2022-07-17 16:33:55,-46.2817,169.8464,42.55,89,89,3.71
43,Albany,US,2022-07-17 16:33:56,42.6001,-73.9662,88.63,50,32,1.99
44,Puerto Ayora,EC,2022-07-17 16:33:56,-0.7393,-90.3518,73.36,88,72,5.99
45,Mednogorskiy,RU,2022-07-17 16:34:56,43.9178,41.1825,66.31,94,92,1.03
46,Evensk,RU,2022-07-17 16:34:57,61.95,159.2333,51.31,98,100,3.4
47,Blairmore,CA,2022-07-17 16:30:17,49.6,-114.4353,66.07,29,1,10.4
48,Yumen,CN,2022-07-17 16:34:57,40.2833,97.2,77.61,35,98,11.56
49,Jamestown,US,2022-07-17 16:34:58,42.097,-79.2353,80.19,69,75,9.22
50,Tutoia,BR,2022-07-17 16:34:58,-2.7619,-42.2744,85.39,60,13,8.46
51,Bredasdorp,ZA,2022-07-17 16:25:19,-34.5322,20.0403,59.61,75,0,6.67
52,Meulaboh,ID,2022-07-17 16:34:58,4.1363,96.1285,78.17,85,69,2.33
53,Mehamn,NO,2022-07-17 16:34:59,71.0357,27.8492,57.15,72,75,5.75
54,Chiredzi,ZW,2022-07-17 16:34:59,-21.05,31.6667,64.31,61,83,4.21
55,Takoradi,GH,2022-07-17 16:34:59,4.8845,-1.7554,77.05,76,64,11.7
56,Matara,LK,2022-07-17 16:35:00,5.9485,80.5353,79.16,86,100,9.33
57,Hilo,US,2022-07-17 16:33:59,19.7297,-155.09,84.27,91,100,4.0
